component,purpose,required_or_optional,deployment_model,license_or_cost,client_prerequisite,validated_status,decision,notes
Native PowerShell host collector,Authenticated Windows host evidence,Required core,Local/WinRM/existing management,Windows built-in/client entitlement,Approved execution path,Reference,Keep,No permanent agent required by default
Agentless CIM survey,Reduced host evidence without deploying collector,Optional adapter,WSMan/DCOM/approved management route,Windows built-in,Remote CIM permitted,Reference,Evaluate,Coverage smaller than full collector
Ansible core PSRP/WinRM,Optional scale orchestration when no client fleet manager is suitable,Optional adapter,Temporary Linux/Python controller + PSRP/WinRM,Open-source ansible-core; dependency review required,Approved routes/auth/remoting,Research,Evaluate only if needed,Does not solve blocked remoting or credentials
Microsoft SCT/baselines,Rule/baseline reference,Recommended reference,Analyst-side/downloaded baseline,Microsoft published toolkit,Applicable OS/build,Research,Use as reference,
HardeningKitty Audit,Expanded Windows configuration audit,Optional complement,Local/client-pushed,MIT main tool plus list provenance review,Approved copy and execution,Research,Evaluate,Audit mode only
Nmap,Network discovery/service exposure,Optional network plane,Separate scanner host,Free internal use; proprietary redistribution requires license review,Approved scanner position,Research,Separate install,Preserve native XML
Greenbone Community,Maintained vulnerability scanning/authenticated Windows local security checks,Optional network plane,Separate scanner platform,Community/open-source components and feeds,Scanner host/feed/credentials,Research,Evaluate,Record feed freshness and permissions
Batfish,Offline network configuration/ACL/reachability analysis,Optional configuration plane,Analyst/server from config snapshots,Apache 2.0,Approved device configs,Research,Evaluate,Modeled evidence not live proof
Zeek,Passive network metadata/protocol analysis,Optional passive plane,SPAN/TAP/PCAP or existing sensor,Open-source; version/license review,Approved observation point,Research,Evaluate,Prefer metadata-first evidence
Velociraptor offline collector,One-time offline evidence collection,Optional alternative,Offline collector/client deployment,AGPLv3; legal review before bundling/modifying,Approved binary/deployment path,Research,Evaluate separately,Useful restricted-access alternative
Wazuh,Existing/persistent SCA inventory vulnerability monitoring,Reuse if client has/continuous service,Persistent agent + manager,Open-source product/client deployment required,Existing deployment or deliberate service,Research,Reuse if present,Not default one-time pentest agent
Existing client platform,SCCM/Intune/RMM/EDR execution or existing evidence,Preferred at scale,Client-managed,Client-owned/licensed,Available platform,Unknown,Discover first,
Existing commercial VM,Tenable/Qualys/Rapid7/Defender VM/etc. evidence,Preferred if suitable and current,Client-managed,Client-owned/licensed,Available platform and access,Unknown,Discover first,Avoid duplicate agent/scanner deployments
Nessus Essentials,Free Nessus tier,Do not depend on,Standalone limited,Non-commercial/limited current free tier,Not appropriate as production dependency,Blocked,Do not depend,Use client/paid Tenable only if separately available
